id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13117130307,113919
13117130403,73750
13117130404,145000
13117130405,113833
13117130406,78486
13117130408,63000
13117130409,66000
13117130410,47813
13117130503,109643
13117130504,79653
13117130505,92805
13117130506,93750
13117130507,78352
13117130508,129375
13117130509,92770
13117130510,127500
13117130601,90605
13117130602,103170
13117130603,143393
13117130604,161375
13117130605,128085
13117130606,118147
13117130607,136422
13117130608,138893
13117130609,140441
13117130610,153958
13117130611,149539
13117130612,143625
13117130613,102074
13119890101,39477
13119890102,53068
13119890200,47440
13119890300,49375
13119890400,27199
13121000100,168396
13121000200,158011
13121000400,97257
13121000500,90140
13121000600,53686
13121000700,84107
13121001001,103846
13121001002,31042
13121001100,109426
13121001201,80476
13121001202,93143
13121001300,76188
13121001400,84167
13121001500,66490
13121001600,78182
13121001700,94750
13121001800,49486
13121001900,62656
13121002100,68618
13121002300,26683
13121002400,28056
13121002500,30283
13121002600,33611
13121002800,33165
13121002900,71210
13121003000,113125
13121003100,62250
13121003200,111830
13121003500,53889
13121003600,53152
13121003700,23684
13121003800,20625
13121003900,33000
13121004000,32417
13121004100,54208
13121004200,18913
13121004300,36750
13121004400,23587
13121004800,19612
13121004900,84655
13121005000,75570
13121005200,111759
13121005300,102303
13121005501,37647
13121005502,21804
13121005700,25170
13121005800,42679
13121006000,38708
13121006100,29323
13121006200,37500
13121006300,31483
13121006400,30395
13121006500,50163
13121006601,44250
13121006602,25375
13121006700,25651
13121006801,-
13121006802,14375
13121006900,73429
13121007001,29528
13121007002,45451
13121007100,25489
13121007200,27083
13121007300,32044
13121007400,19740
13121007500,26205
13121007602,32500
13121007603,13456
13121007604,21863
13121007703,44452
13121007704,35814
13121007705,25906
13121007706,45101
13121007802,51388
13121007805,31174
13121007806,41529
13121007807,24398
13121007808,12485
13121007900,61125
13121008000,43854
13121008101,44878
13121008102,27119
13121008201,38080
13121008202,27093
13121008301,25060
13121008302,28318
13121008400,24183
13121008500,24890
13121008601,22696
13121008602,37708
13121008700,33732
13121008800,103385
13121008902,72432
13121008903,75978
13121008904,85517
13121009000,111146
13121009101,79489
13121009102,59444
13121009200,71482
13121009300,106128
13121009402,75088
13121009403,63269
13121009404,81004
13121009501,185521
13121009502,86053
13121009601,107386
13121009602,102778
13121009603,83243
13121009700,208750
13121009801,125375
13121009802,165583
13121009900,152500
13121010001,108197
13121010002,146182
13121010106,81952
13121010107,203636
13121010108,126711
13121010110,73727
13121010113,61583
13121010114,72450
13121010115,127688
13121010117,60731
13121010118,55023
13121010119,56402
13121010120,77500
13121010121,90451
13121010122,90586
13121010123,77969
13121010204,171875
13121010205,103828
13121010206,192375
13121010208,72022
13121010209,61575
13121010210,82212
13121010211,142750
13121010212,67350
13121010301,75636
13121010303,71457
13121010304,80641
13121010400,50980
13121010507,43986
13121010508,59474
13121010510,48051
13121010511,56719
13121010512,40215
13121010513,48344
13121010514,66144
13121010515,55883
13121010516,59783
13121010601,34508
13121010603,34830
13121010604,36044
13121010800,44881
13121011000,23546
13121011100,60333
13121011201,35670
13121011202,44614
13121011301,50893
13121011303,45942
13121011305,36707
13121011306,33587
13121011405,85081
13121011410,117157
13121011411,85114
13121011412,91222
13121011414,80389
13121011416,109417
13121011417,96635
13121011418,160820
13121011419,124358
13121011420,48988
13121011421,50326
13121011422,70833
13121011423,128085
13121011424,95410
13121011425,162672
13121011426,126375
13121011427,126452
13121011503,168750
13121011504,236149
13121011505,166938
13121011506,165266
13121011610,114464
13121011611,68620
13121011612,150901
13121011613,110066
13121011614,74184
13121011615,161263
13121011616,104176
13121011617,144125
13121011618,122857
13121011619,93750
13121011620,141513
13121011621,157692
13121011622,149583
13121011623,121389
13121011624,196016
13121011625,122361
13121011626,102699
13121011800,30972
13121011900,25699
13121012000,27188
13121012300,52188
13121980000,-
13123080100,49132
13123080200,56893
13123080300,52083
13123080400,48292
13123080500,54824
13125010100,45000
13127000101,64659
13127000102,76212
13127000200,93393
13127000300,104861
13127000401,52991
13127000403,70500
13127000404,60291
13127000501,27283
13127000503,42222
13127000504,47361
13127000600,41932
13127000700,29905
13127000800,25756
13127000900,32120
13127001000,64918
13127990000,-
13129970100,50972
13129970200,46739
13129970300,36536
13129970400,42475
13129970500,38568
13129970600,35393
13129970700,49315
13129970800,62212
13129970900,56020
13131950100,50250
13131950200,46853
13131950300,40000
13131950400,31570
13131950500,46632
13131950600,46410
13133950100,38000
13133950200,32193
13133950301,126250
13133950302,78929
13133950303,38133
13133950400,31719
13133950500,56167
13135050103,80772
13135050105,53785
13135050106,66351
13135050107,102874
13135050108,129112
13135050109,70771
13135050205,67652
13135050208,65292
13135050209,53272
13135050210,78525
13135050211,44870
13135050212,139097
13135050213,113591
13135050214,92990
13135050215,64306
13135050216,83193
13135050217,91451
13135050218,68529
13135050219,67188
13135050220,57845
13135050304,43917
13135050306,47011
13135050308,151875
13135050309,108786
13135050310,70102
13135050311,104302
13135050313,51794
13135050314,49054
13135050315,53693
13135050317,41711
13135050318,47321
13135050319,43355
13135050320,42500
13135050321,143875
13135050322,151364
13135050410,53415
13135050415,75036
13135050416,67833
13135050417,35882
13135050418,37970
13135050419,51930
13135050421,50511
13135050422,39133
13135050423,58067
13135050424,47539
13135050425,102500
13135050426,80320
13135050427,84151
13135050428,94792
13135050429,104697
13135050430,72937
13135050431,45816
13135050432,61027
13135050433,46675
13135050434,47747
13135050435,55438
13135050436,47200
13135050511,65399
13135050520,41512
13135050521,58897
13135050522,34704
13135050523,60363
13135050524,53594
13135050525,89475
13135050526,41696
13135050527,88662
13135050528,103423
13135050529,67361
13135050530,95072
13135050531,62075
13135050532,67769
13135050533,57518
13135050534,69268
13135050535,60948
13135050536,57426
13135050537,42513
13135050538,85862
13135050539,45729
13135050540,70506
13135050541,40551
13135050542,52640
13135050543,66901
13135050544,85293
13135050545,65249
13135050546,75927
13135050547,77736
13135050548,85682
13135050549,80490
13135050605,84466
13135050606,90338
13135050607,95308
13135050608,90029
13135050609,98038
13135050610,118623
13135050709,64571
13135050712,98886
13135050713,106287
13135050714,89444
13135050715,79971
13135050718,97043
13135050719,53875
13135050720,70899
13135050721,75042
13135050722,64496
13135050723,86563
13135050724,86588
13135050725,67525
13135050726,69422
13135050727,99072
13135050728,94167
13135050729,64152
13135050730,70779
13135050731,65704
