GEOID10,NUMPOINTS,income_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"13135050321",0,"143875"
"13135050322",0,"151364"
"13135050318",0,"47321"
"13135050320",0,"42500"
"13135050317",1,"41711"
"13135050220",1,"57845"
"13135050214",2,"92990"
"13135050218",0,"68529"
"13135050209",1,"53272"
"13135050217",0,"91451"
"13135050529",0,"67361"
"13135050530",0,"95072"
"13135050538",0,"85862"
"13135050525",0,"89475"
"13135050528",0,"103423"
"13135050422",0,"39133"
"13135050304",0,"43917"
"13135050419",1,"51930"
"13135050306",0,"47011"
"13135050205",1,"67652"
"13135050417",0,"35882"
"13135050314",0,"49054"
"13135050308",2,"151875"
"13135050309",0,"108786"
"13135050313",0,"51794"
"13135050311",0,"104302"
"13135050310",1,"70102"
"13135050424",0,"47539"
"13135050421",0,"50511"
"13135050315",0,"53693"
"13135050418",0,"37970"
"13135050521",0,"58897"
"13135050522",1,"34704"
"13135050520",0,"41512"
"13135050511",1,"65399"
"13135050714",0,"89444"
"13135050429",0,"104697"
"13135050713",0,"106287"
"13135050423",0,"58067"
"13135050410",1,"53415"
"13135050720",2,"70899"
"13135050712",1,"98886"
"13135050719",0,"53875"
"13135050721",0,"75042"
"13135050715",0,"79971"
"13135050415",0,"75036"
"13135050718",0,"97043"
"13135050427",1,"84151"
"13135050428",0,"94792"
"13135050425",0,"102500"
"13135050526",0,"41696"
"13135050431",0,"45816"
"13135050426",1,"80320"
"13135050430",0,"72937"
"13121011427",1,"126452"
"13121011616",2,"104176"
"13121010108",1,"126711"
"13121011410",1,"117157"
"13121011412",1,"91222"
"13121011414",2,"80389"
"13121011424",0,"95410"
"13121011612",0,"150901"
"13121011625",1,"122361"
"13121011426",0,"126375"
"13121011425",0,"162672"
"13089022302",1,"89146"
"13089022007",1,"39216"
"13089022204",1,"68523"
"13089022301",2,"73819"
"13089023114",0,"51105"
"13089023112",0,"29786"
"13089021912",0,"164926"
"13089021910",0,"42305"
"13089023107",0,"51222"
"13089021911",0,"27835"
"13089023115",0,"-"
"13089023206",0,"43190"
"13089023204",1,"56263"
"13089023113",0,"40542"
"13089022010",0,"59583"
"13089023111",0,"62969"
"13089021814",0,"39085"
"13089023102",0,"39961"
"13089023000",0,"83021"
"13089021906",0,"46448"
"13089022900",1,"79400"
"13089022100",0,"44135"
"13089022005",0,"39266"
"13089022203",1,"66731"
"13089022009",0,"41042"
"13089021913",0,"32983"
"13089021813",0,"44883"
"13089021308",0,"52813"
"13089022004",0,"53341"
"13089022008",0,"32672"
"13089021909",0,"37269"
"13089022001",0,"66638"
"13089023108",0,"32258"
"13089021306",2,"50118"
"13089021305",0,"55109"
"13089021307",0,"50362"
"13089021812",1,"72935"
"13089021810",0,"74539"
"13089021809",0,"99337"
"13089021808",0,"85543"
"13089021806",2,"68216"
"13089021805",0,"76066"
"13089021704",1,"105033"
"13089021703",1,"149306"
"13089021705",1,"42679"
"13089021908",0,"36250"
"13089021706",0,"88778"
"13089021211",0,"106389"
"13089021303",0,"43309"
"13089021301",0,"46667"
"13121011305",0,"36707"
"13121011306",0,"33587"
"13121007706",1,"45101"
"13121007703",0,"44452"
"13121011202",0,"44614"
"13121011100",0,"60333"
"13121011201",0,"35670"
"13121011303",0,"45942"
"13121007002",0,"45451"
"13121011301",0,"50893"
"13121007604",0,"21863"
"13121007704",1,"35814"
"13121007603",0,"13456"
"13121011611",0,"68620"
"13121007500",0,"26205"
"13121008101",0,"44878"
"13121010107",0,"203636"
"13121011405",0,"85081"
"13121010106",0,"81952"
"13121002900",0,"71210"
"13121010601",0,"34508"
"13121011411",1,"85114"
"13121007300",0,"32044"
"13121010511",0,"56719"
"13121000100",0,"168396"
"13121000200",2,"158011"
"13121009402",0,"75088"
"13121010119",1,"56402"
"13121007705",0,"25906"
"13121007100",0,"25489"
"13121006801",0,"-"
"13121006900",0,"73429"
"13121005200",0,"111759"
"13121005000",0,"75570"
"13121001500",1,"66490"
"13121010512",0,"40215"
"13121007802",0,"51388"
"13121011610",0,"114464"
"13121011420",0,"48988"
"13121001700",0,"94750"
"13121001400",1,"84167"
"13121003000",0,"113125"
"13121011000",0,"23546"
"13121007400",1,"19740"
"13121006400",0,"30395"
"13121005300",0,"102303"
"13121005502",0,"21804"
"13121010513",1,"48344"
"13121010304",0,"80641"
"13121010301",1,"75636"
"13121011421",1,"50326"
"13121011416",1,"109417"
"13121007001",0,"29528"
"13121006700",0,"25651"
"13121006300",0,"31483"
"13121005700",0,"25170"
"13121006500",0,"50163"
"13121005501",0,"37647"
"13121011503",1,"168750"
"13121010120",0,"77500"
"13121010117",1,"60731"
"13121010118",0,"55023"
"13121010115",0,"127688"
"13121010122",0,"90586"
"13121006601",0,"44250"
"13121006602",0,"25375"
"13121006200",0,"37500"
"13121006100",0,"29323"
"13121001600",0,"78182"
"13121003100",0,"62250"
"13121006802",0,"14375"
"13121007602",0,"32500"
"13121009403",0,"63269"
"13121009404",0,"81004"
"13121009602",1,"102778"
"13121010002",0,"146182"
"13121008000",0,"43854"
"13097080508",1,"64468"
"13097080510",0,"77971"
"13097080509",1,"88580"
"13097080511",1,"99850"
"13097080404",0,"70167"
"13097080403",0,"73622"
"13097080604",0,"66120"
"13097080506",0,"61654"
"13097080505",2,"48619"
"13097080507",0,"72368"
"13097080402",0,"86988"
"13089980000",0,"-"
"13089023426",0,"74083"
"13089021502",0,"72537"
"13089021602",0,"85417"
"13089023803",0,"56821"
"13089022402",0,"32083"
"13089022700",0,"136324"
"13089022403",0,"174531"
"13089023425",2,"73652"
"13089023213",1,"42517"
"13089023602",0,"43100"
"13089023504",0,"35611"
"13089023411",0,"42606"
"13089023410",0,"34132"
"13089023501",0,"32000"
"13089021604",0,"159306"
"13089021504",3,"77708"
"13089021503",0,"57381"
"13089023101",0,"56487"
"13089022401",0,"110775"
"13089020900",1,"71618"
"13089020700",0,"95417"
"13089020600",0,"63313"
"13089020500",1,"65694"
"13089021410",0,"62951"
"13089021216",0,"86828"
"13089020802",1,"73981"
"13089021416",0,"108203"
"13089021413",0,"47885"
"13089021411",0,"92404"
"13089020400",0,"106103"
"13089020300",0,"147614"
"13089020100",0,"170096"
"13089023802",0,"44676"
"13089023801",0,"81103"
"13089023700",0,"47712"
"13089023506",0,"45924"
"13089023505",0,"38231"
"13089023424",0,"64375"
"13089023421",0,"43165"
"13089023413",0,"70811"
"13089023414",0,"69542"
"13089021409",0,"50666"
"13089021218",1,"60254"
"13089023507",1,"47012"
"13089023412",0,"52180"
"13089021217",0,"106216"
"13089021215",0,"100348"
"13089021414",1,"53222"
"13089021101",2,"166563"
"13089022800",0,"136711"
"13089022600",1,"82131"
"13089022500",0,"90648"
"13089021605",1,"82454"
"13089020200",0,"84867"
"13089021417",1,"54575"
"13089021415",0,"111827"
"13089021102",2,"110504"
"13089023601",0,"72303"
"13089021412",1,"115759"
"13089020801",0,"94662"
"13089021214",1,"172279"
"13089021210",0,"168967"
"13089021213",1,"154063"
"13089021209",0,"80692"
"13089021405",0,"126644"
"13089021208",1,"74922"
"13089021204",1,"28242"
"13089021202",0,"127957"
"13089023603",0,"38156"
"13089021603",0,"66425"
"13057090904",0,"64873"
"13057091007",0,"103387"
"13057090803",1,"103239"
"13057090804",1,"97135"
"13057091008",1,"91549"
"13057090802",0,"100536"
"13057091101",0,"88310"
"13057090701",3,"90392"
"13057091005",0,"66288"
"13057091006",2,"111574"
"13057090901",0,"105368"
"13057090702",0,"72299"
"13057090300",0,"84120"
"13057090400",2,"46118"
"13057090601",3,"54676"
"13057090602",0,"70282"
"13057090200",0,"89522"
